ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount
13/04/2020,2020-04-13,10.5,1151
12/04/2020,2020-04-12,10.5,1100
11/04/2020,2020-04-11,9,1200
11/04/2020,2020-04-11,10.5,1090
11/04/2020,2020-04-11,13,767
09/04/2020,2020-04-09,13,825
08/04/2020,2020-04-08,10.5,1086
07/04/2020,2020-04-07,9.5,1057
07/04/2020,2020-04-07,11.5,900
06/04/2020,2020-04-06,11.5,910
05/04/2020,2020-04-05,11.5,975
05/04/2020,2020-04-05,12,880
04/04/2020,2020-04-04,12,860
03/04/2020,2020-04-03,10.5,1098
03/04/2020,2020-04-03,12,870
03/04/2020,2020-04-03,13,796
02/04/2020,2020-04-02,13,750
31/03/2020,2020-03-31,9,1150
31/03/2020,2020-03-31,10.5,1020
31/03/2020,2020-03-31,13,725
30/03/2020,2020-03-30,11,1000
29/03/2020,2020-03-29,13,710
28/03/2020,2020-03-28,9.5,1100
27/03/2020,2020-03-27,10.5,990
27/03/2020,2020-03-27,11,915
27/03/2020,2020-03-27,11,906
27/03/2020,2020-03-27,13,731
26/03/2020,2020-03-26,11,900
25/03/2020,2020-03-25,10.5,955
24/03/2020,2020-03-24,9,1050
24/03/2020,2020-03-24,9.5,1100
24/03/2020,2020-03-24,10.5,940
23/03/2020,2020-03-23,10,1085
23/03/2020,2020-03-23,11,900
22/03/2020,2020-03-22,9.5,900
21/03/2020,2020-03-21,9.5,1099
21/03/2020,2020-03-21,11,851
20/03/2020,2020-03-20,10.5,900
19/03/2020,2020-03-19,10.5,985
18/03/2020,2020-03-18,11,850
18/03/2020,2020-03-18,12,970
18/03/2020,2020-03-18,13,700
17/03/2020,2020-03-17,8.5,1050
17/03/2020,2020-03-17,9,1001
16/03/2020,2020-03-16,9.5,1000
16/03/2020,2020-03-16,10,850
15/03/2020,2020-03-15,9.5,1100
15/03/2020,2020-03-15,11,759
15/03/2020,2020-03-15,11,799
15/03/2020,2020-03-15,12,850
14/03/2020,2020-03-14,10,1050
13/03/2020,2020-03-13,11,783
12/03/2020,2020-03-12,9,1197
11/03/2020,2020-03-11,9,1196
11/03/2020,2020-03-11,10,1200
11/03/2020,2020-03-11,11,769
11/03/2020,2020-03-11,11.5,984
11/03/2020,2020-03-11,12,840
10/03/2020,2020-03-10,10,1300
10/03/2020,2020-03-10,12,820
09/03/2020,2020-03-09,9,1000
09/03/2020,2020-03-09,9,1092
09/03/2020,2020-03-09,9.5,1100
09/03/2020,2020-03-09,10,1137
09/03/2020,2020-03-09,12,800
08/03/2020,2020-03-08,13,790
07/03/2020,2020-03-07,8.5,1050
07/03/2020,2020-03-07,10,1028
06/03/2020,2020-03-06,10.5,949
06/03/2020,2020-03-06,13,706
06/03/2020,2020-03-06,13,749
04/03/2020,2020-03-04,11,880
02/03/2020,2020-03-02,9,975
02/03/2020,2020-03-02,9,1000
02/03/2020,2020-03-02,9.5,1001
02/03/2020,2020-03-02,11,751
02/03/2020,2020-03-02,12,711
02/03/2020,2020-03-02,13,689
29/02/2020,2020-02-29,9,1095
28/02/2020,2020-02-28,9.5,1150
28/02/2020,2020-02-28,9.5,1050
28/02/2020,2020-02-28,10,1120
28/02/2020,2020-02-28,11.5,770
27/02/2020,2020-02-27,9.5,1085
27/02/2020,2020-02-27,9.5,1087
27/02/2020,2020-02-27,10.5,1042
